profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,1,8dd03150,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,199.0,199.294,neutral,0.023518,0.75,0.023518,logs/experiments/probe_none_on_nearmiss/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,2,090148bc,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,194.0,194.003,neutral,0.039494,0.75,0.039494,logs/experiments/probe_none_on_nearmiss/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,3,3bf8cfbb,1,1,0,0,completed,success,True,co_sr,12,153.0,152.702,improved,0.070893,0.3545,0.070893,logs/experiments/probe_none_on_nearmiss/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/probe_none_on_nearmiss/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
