profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,1,87da6148,1,1,0,0,completed,success,True,co_edca,8,44.0,44.31,improved,0.255401,0.75,0.255401,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,2,60787234,1,1,0,0,completed,success,True,co_edca,8,55.0,55.696,improved,0.061152,0.3058,0.061152,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,3,181406bd,1,1,0,0,completed,success,True,co_edca,8,37.0,37.391,improved,0.435993,0.75,0.435993,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,4,c5486fb0,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,43.0,43.405,neutral,0.013733,0.75,0.013733,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_04.stdout.txt,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,5,606c0dae,1,1,0,0,completed,success,True,co_edca,8,41.0,42.064,improved,0.447081,0.75,0.447081,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_05.stdout.txt,logs/experiments/probe_none_on_fastvote_qosoverride_count5_5rep/raw/none_memory-on/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
