profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,1,cf476e0a,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,225.0,225.171,,,,-1.0,logs/experiments/probe_none_on_stable_reset/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,2,,2,2,1,reset_failed,infra_error,baseline_reset_failed,False,,,,,,,,-1.0,logs/experiments/probe_none_on_stable_reset/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_02_attempt_02.stdout.txt,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_02_attempt_02.stderr.txt,baseline reset
none,on,none_memory-on,3,1664f9c0,1,1,0,0,completed,max_retries_exceeded,False,co_sr,18,195.0,195.02,neutral,0.040952,0.75,0.040952,logs/experiments/probe_none_on_stable_reset/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,4,c7f0906f,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,209.0,209.242,neutral,0.036265,0.75,0.036265,logs/experiments/probe_none_on_stable_reset/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_04.stdout.txt,logs/experiments/probe_none_on_stable_reset/raw/none_memory-on/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
