profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,9393981b,1,1,0,0,completed,noop,False,noop,3,52.0,52.202,,,,-1.0,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/db/none_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,1,e5a36685,1,1,0,0,completed,noop,False,noop,3,33.0,33.527,,,,-1.0,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
basic,off,basic_memory-off,1,656029f4,1,1,0,0,completed,noop,False,noop,3,24.0,24.299,,,,-1.0,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/db/basic_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/basic_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_highload_seeded_vi/raw/basic_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
