profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,64badac8,1,1,0,0,completed,max_retries_exceeded,False,co_sr,18,235.0,235.558,neutral,0.020788,0.75,0.020788,logs/experiments/probe_none_off_retryfix/db/none_memory-off.sqlite3,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,off,none_memory-off,2,99cc7460,1,1,0,0,completed,success,True,co_sr,17,234.0,233.857,improved,0.072237,0.3612,0.072237,logs/experiments/probe_none_off_retryfix/db/none_memory-off.sqlite3,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_02.stdout.txt,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,off,none_memory-off,3,dd2f9e62,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,226.0,226.212,neutral,0.00642,0.75,0.00642,logs/experiments/probe_none_off_retryfix/db/none_memory-off.sqlite3,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_03.stdout.txt,logs/experiments/probe_none_off_retryfix/raw/none_memory-off/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
