profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,35,fd75680a,3,3,2,1,infra_error,infra_error,False,,,,15.151,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_35_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_35_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,36,996e632e,3,3,2,1,infra_error,infra_error,False,,,,15.138,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_36_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_36_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,37,50a82ceb,3,3,2,1,infra_error,infra_error,False,,,,15.139,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_37_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_37_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,38,42742e18,3,3,2,1,infra_error,infra_error,False,,,,15.168,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_38_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_38_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,39,a9925039,3,3,2,1,infra_error,infra_error,False,,,,15.123,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_39_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_39_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,40,d510e2b4,3,3,2,1,infra_error,infra_error,False,,,,15.145,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_40_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_40_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,41,84212321,3,3,2,1,infra_error,infra_error,False,,,,15.148,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_41_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_41_attempt_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,42,,3,3,2,reset_failed,infra_error,baseline_reset_failed,False,,,,,,,,-1.0,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_42_attempt_03.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_42_attempt_03.stderr.txt,baseline reset
none,on,none_memory-on,43,d3b2f292,1,1,0,0,completed,max_retries_exceeded,False,co_edca,15,170.0,170.116,neutral,-0.005319,0.75,-0.005319,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_43.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_43.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,44,318fe08d,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,189.0,189.493,degraded,-0.051494,0.2575,-0.051494,logs/experiments/probe_4profiles_2rep_current2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_44.stdout.txt,logs/experiments/probe_4profiles_2rep_current2/raw/none_memory-on/trial_44.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
