profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,8fd0f607,1,1,0,0,completed,max_retries_exceeded,False,co_sr,18,220.0,219.89,degraded,-0.052803,0.264,-0.052803,logs/experiments/probe_4profiles_1rep/db/none_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,1,6c2a7cae,2,2,1,0,completed,success,True,co_sr,17,242.0,242.282,improved,0.090043,0.4502,0.090043,logs/experiments/probe_4profiles_1rep/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep/raw/none_memory-on/trial_01_attempt_02.stdout.txt,logs/experiments/probe_4profiles_1rep/raw/none_memory-on/trial_01_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
basic,off,basic_memory-off,1,ba9e8bde,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,445.0,445.228,,,,-1.0,logs/experiments/probe_4profiles_1rep/db/basic_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep/raw/basic_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep/raw/basic_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
