profile,effect_gain,duration_reduction_s,success_rate_gain
none,0.2795319,101.16,0.5
basic,0.0679207,98.5687,0.0
full,0.0752356,84.5412,0.20000000000000007
faulty,0.1576659,67.26050000000001,0.10000000000000009
