profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,1,ad82fa39,1,1,0,0,completed,max_retries_exceeded,False,co_sr,18,227.0,226.804,,,,-1.0,logs/experiments/probe_none_on_3rep_memory_learning/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,2,84767ef6,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,188.0,187.747,degraded,-0.097721,0.4886,-0.097721,logs/experiments/probe_none_on_3rep_memory_learning/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,3,aa9778a3,2,2,1,0,completed,max_retries_exceeded,False,co_edca,18,197.0,197.144,,,,-1.0,logs/experiments/probe_none_on_3rep_memory_learning/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_03_attempt_02.stdout.txt,logs/experiments/probe_none_on_3rep_memory_learning/raw/none_memory-on/trial_03_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
