profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,off,none_memory-off,1,d85d3fce,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,233.0,232.876,neutral,0.032548,0.75,0.032548,logs/experiments/probe_4profiles_1rep_reset2/db/none_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/none_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/none_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
none,on,none_memory-on,1,9579fdc5,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,196.0,196.675,degraded,-0.110102,0.5505,-0.110102,logs/experiments/probe_4profiles_1rep_reset2/db/none_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
basic,off,basic_memory-off,1,6fd48d43,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,252.0,252.593,,,,-1.0,logs/experiments/probe_4profiles_1rep_reset2/db/basic_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/basic_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/basic_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
basic,on,basic_memory-on,1,8ec40193,1,1,0,0,completed,success,True,co_edca,7,67.0,68.124,improved,0.05735,0.2868,0.05735,logs/experiments/probe_4profiles_1rep_reset2/db/basic_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/basic_memory-on/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/basic_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
full,off,full_memory-off,1,30eb9e63,1,1,0,0,completed,qos_apply_failed,False,co_edca,7,90.0,90.25,,,,-1.0,logs/experiments/probe_4profiles_1rep_reset2/db/full_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/full_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/full_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile full --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
full,on,full_memory-on,1,c753f59f,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,254.0,254.943,,,,-1.0,logs/experiments/probe_4profiles_1rep_reset2/db/full_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/full_memory-on/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/full_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile full --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
faulty,off,faulty_memory-off,1,c1d664e5,1,1,0,0,completed,max_retries_exceeded,False,co_edca,18,235.0,234.83,,,,-1.0,logs/experiments/probe_4profiles_1rep_reset2/db/faulty_memory-off.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/faulty_memory-off/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/faulty_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile faulty --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
faulty,on,faulty_memory-on,1,081113d8,1,1,0,0,completed,max_retries_exceeded,False,co_edca,9,99.0,99.166,,,,-1.0,logs/experiments/probe_4profiles_1rep_reset2/db/faulty_memory-on.sqlite3,logs/experiments/probe_4profiles_1rep_reset2/raw/faulty_memory-on/trial_01.stdout.txt,logs/experiments/probe_4profiles_1rep_reset2/raw/faulty_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile faulty --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
