profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
none,on,none_memory-on,1,abdd8fda,1,1,0,0,completed,success,True,co_edca,8,92.0,92.531,improved,0.263215,0.75,0.263215,logs/experiments/probe_none_on_highload_vi_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_01.stdout.txt,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,2,7bd29f6a,1,1,0,0,completed,success,True,co_edca,8,86.0,86.29,improved,0.480706,0.75,0.480706,logs/experiments/probe_none_on_highload_vi_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_02.stdout.txt,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,3,c30efe68,1,1,0,0,completed,success,True,co_edca,8,72.0,72.453,improved,0.604118,0.75,0.604118,logs/experiments/probe_none_on_highload_vi_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_03.stdout.txt,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_03.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,4,6bf7b6d6,1,1,0,0,completed,success,True,co_edca,8,77.0,77.375,improved,0.213743,0.75,0.213743,logs/experiments/probe_none_on_highload_vi_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_04.stdout.txt,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_04.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
none,on,none_memory-on,5,6bdf02a5,1,1,0,0,completed,success,True,co_edca,8,76.0,76.632,improved,0.189432,0.75,0.189432,logs/experiments/probe_none_on_highload_vi_count5_5rep/db/none_memory-on.sqlite3,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_05.stdout.txt,logs/experiments/probe_none_on_highload_vi_count5_5rep/raw/none_memory-on/trial_05.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile none --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 8 --max-validation-retries 1 --state-wait 3.0 --observation-wait 3.0 --ap-config config/ap_endpoints.json --stream-timeout 180.0
