profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
basic,off,basic_memory-off,1,02701e0e,1,1,0,0,completed,proposal_parse_error,False,None,14,331.0,331.123,,,,-1.0,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/db/basic_memory-off.sqlite3,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/basic_memory-off/trial_01.stdout.txt,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/basic_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 2 --state-wait 3.0 --observation-wait 2.0 --ap-config config/ap_endpoints.json --stream-timeout 240.0
basic,on,basic_memory-on,1,d3c277ff,1,1,0,0,completed,success,True,co_edca,8,77.0,77.189,improved,0.245921,0.75,0.245921,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/db/basic_memory-on.sqlite3,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/basic_memory-on/trial_01.stdout.txt,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/basic_memory-on/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile basic --memory on --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 2 --state-wait 3.0 --observation-wait 2.0 --ap-config config/ap_endpoints.json --stream-timeout 240.0
full,off,full_memory-off,1,11f65b1e,1,1,0,timeout,infra_timeout,infra_timeout,False,,,,420.024,,,,-1.0,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/db/full_memory-off.sqlite3,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/full_memory-off/trial_01.stdout.txt,logs/experiments/probe_tool_profiles_highload_vi_fast_max2/raw/full_memory-off/trial_01.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile full --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 2 --state-wait 3.0 --observation-wait 2.0 --ap-config config/ap_endpoints.json --stream-timeout 240.0
