profile,memory,condition,trial,session_id,attempt,attempts,infra_retries,returncode,run_status,outcome,success,strategy,turns,reported_duration_s,wall_duration_s,qos_verdict,qos_score,qos_confidence,effect_score,event_db,stdout_path,stderr_path,command
full,off,full_memory-off,1,66bcd082,2,2,1,1,infra_error,infra_error,False,,,,13.785,,,,-1.0,logs/experiments/probe_script_retry_full_off/db/full_memory-off.sqlite3,logs/experiments/probe_script_retry_full_off/raw/full_memory-off/trial_01_attempt_02.stdout.txt,logs/experiments/probe_script_retry_full_off/raw/full_memory-off/trial_01_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile full --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
full,off,full_memory-off,2,3987523c,2,2,1,1,run_error,run_error,False,,,,31.729,,,,-1.0,logs/experiments/probe_script_retry_full_off/db/full_memory-off.sqlite3,logs/experiments/probe_script_retry_full_off/raw/full_memory-off/trial_02_attempt_02.stdout.txt,logs/experiments/probe_script_retry_full_off/raw/full_memory-off/trial_02_attempt_02.stderr.txt,/Users/heyu/Developer/ap/multi_agent_coop/.venv/bin/python run.py --mode ns3 --scene sr --server http://127.0.0.1:5001 --tool-profile full --memory off --acceptance qos --no-dashboard --no-academic-plot --eval-windows off --max-steps 4 --state-wait 3.0 --observation-wait 1.0 --ap-config config/ap_endpoints.json --stream-timeout 300.0
